year,co2,population,coal_co2,oil_co2,gas_co2
1950,40298.558,10768813663.0,19867.159,6706.671,1464.085
1951,43447.142,10956592217.0,21091.761,7445.742,1722.862
1952,44134.381,11157464037.0,20979.665,7900.7339999999995,1852.524
1953,45396.722,11370602614.0,21183.255,8448.214,1973.483
1954,46613.934,11591551985.0,21387.712,9048.541,2089.614
1955,51025.601,11823235256.0,23076.193,10161.636,2288.811
1956,54357.531,12058975354.0,24248.737,11110.915,2470.352
1957,56169.193,12303531432.0,24732.161,11663.913,2747.643
1958,57728.119,12554588619.0,24894.771,12289.222000000002,3032.281
1959,60536.221,12790290628.0,25616.179,13176.087000000001,3289.901
1960,64219.551,13005535291.0,26675.524,14284.706,3655.363
1961,64656.534999999996,13220598727.0,25876.693,15217.319,3911.773
1962,67131.266,13472501040.0,25912.288,16524.825,4329.651
1963,70817.048,13768593965.0,26833.442,17808.921,4713.682
1964,74638.325,14074180899.0,27315.753,19328.73,5240.115
1965,77902.114,14373725302.0,27561.765,20859.524999999998,5640.406
1966,81556.337,14671560860.0,27747.568,22597.925,6159.41
1967,84088.268,14969130673.0,27293.141,24168.487,6624.291
1968,88668.288,15276652756.0,27578.725000000002,26400.560999999998,7251.726
1969,94509.0,15594678297.0,28517.422,28635.578,7961.864
1970,102066.89899999999,15915913538.0,29212.903,32625.286,8350.382
1971,106226.786,16238181647.0,29168.034,34577.822,9108.92
1972,111030.158,16560539902.0,29002.245,37295.531,9749.395
1973,116840.443,16886009636.0,29771.159,39552.642,10504.377
1974,116633.916,17210114128.0,29772.878,39067.268,10888.704
1975,117141.576,17528646286.0,30500.317,38809.65,11026.231
1976,123752.843,17844114990.0,31631.274,41319.123999999996,11735.583
1977,127012.725,18160063799.0,32237.325,42629.655,12060.122
1978,130935.266,18478380487.0,32677.934,44248.268000000004,12623.954000000002
1979,134702.314,18805549085.0,34131.177,44911.158,13351.962
1980,134069.452,19143455363.0,35078.661,43388.638999999996,13727.805
1981,130814.326,19492228515.0,34752.881,41454.718,13981.279999999999
1982,129955.894,19851402284.0,35285.583,40547.936,13748.294
1983,130778.832,20213342560.0,36061.265,40126.576,14006.118999999999
1984,134950.229,20575929052.0,37545.899,40370.774,15240.681
1985,139668.717,20946217532.0,40344.78,40307.173,15908.876
1986,141475.195,21326706449.0,40870.472,41394.894,15519.653
1987,144887.991,21717417529.0,42045.604,41151.676999999996,16894.900999999998
1988,150191.277,22110559470.0,43237.079,42527.03,17701.146
1989,152010.757,22504673263.0,43072.279,43204.355,18551.896
1990,154633.299,22902510801.0,41847.573,44137.078,19482.332
1991,157419.0,23289816873.0,41111.08,46844.144,19755.434
1992,151842.288,23662440714.0,39717.054000000004,43422.793,19993.396
1993,152737.064,24028075356.0,39869.815,43252.818,20445.08
1994,153499.084,24387369880.0,39764.073000000004,43150.71,20506.352
1995,156622.807,24743526375.0,40716.564,43388.314,21201.328999999998
1996,161032.159,25097183123.0,41566.285,44492.615,22175.215
1997,161462.972,25449199893.0,41170.409999999996,44939.059,22195.143
1998,160566.639,25798940965.0,40008.522,45306.636,22487.34
1999,163828.612,26147501255.0,40377.459,46313.913,23216.906
2000,168010.112,26499718626.0,41997.546,46750.413,23839.945
2001,169567.218,26853822227.0,42320.437,47206.112,24143.669
2002,172974.648,27206521009.0,44029.468,47038.862,24796.626
2003,181764.622,27558821500.0,47570.452,48121.243,25805.150999999998
2004,187514.5,27912696343.0,48992.239,49628.653,26623.694
2005,193423.937,28268794788.0,51662.972,50038.348,27210.996
2006,199677.513,28627928688.0,54465.305,50386.188,27963.003
2007,204943.291,28992739049.0,56932.835,50224.149,28851.228
2008,208095.331,29362973349.0,58440.084,50010.085,29670.799
2009,204004.614,29737457538.0,57376.426,48882.543,28798.23
2010,215482.734,30115096579.0,61289.109000000004,50287.196,31022.824
2011,222389.494,30492404665.0,64564.308,50306.974,31778.102
2012,225593.49599999998,30872765640.0,65383.345,50924.439,32297.463
2013,227013.34,31255214965.0,65624.18000000001,51113.797,32358.838
2014,227470.444,31634245843.0,65536.312,51130.733,32366.131
2015,227211.442,32009894612.0,64120.153,52097.093,32966.045
2016,227301.955,32382382772.0,62639.35799999999,52627.764,33897.744
2017,230881.498,32750714858.0,63377.617,53364.185,34760.241
2018,235257.257,33107945214.0,64300.974,53620.506,36257.538
2019,237289.378,33453587325.0,63806.181000000004,54313.421,36938.52
2020,225815.581,33775086553.0,61685.014,48636.464,36555.553
2021,237662.364,34062383848.0,65331.159,51102.467,38317.467
2022,238962.609,34347990168.0,65574.627,52538.003000000004,38004.626000000004
2023,241116.668,34647183410.0,66113.452,53524.354999999996,37929.581
